step,epoch,training_loss
10,0.15873015873015872,0.6978
20,0.31746031746031744,0.6908
30,0.47619047619047616,0.6969
40,0.6349206349206349,0.684
50,0.7936507936507936,0.6825
60,0.9523809523809523,0.6832
70,1.1111111111111112,0.6718
80,1.2698412698412698,0.6807
90,1.4285714285714286,0.677
100,1.5873015873015874,0.6742
110,1.746031746031746,0.6657
120,1.9047619047619047,0.6636
130,2.0634920634920633,0.6748
140,2.2222222222222223,0.6669
150,2.380952380952381,0.663
160,2.5396825396825395,0.659
170,2.6984126984126986,0.6607
180,2.857142857142857,0.6698
