mean_score,layer,head
0.42986758053302765,5,5
0.2946581721305847,11,8
0.2574119731783867,7,10
0.2476791888475418,1,10
0.23349839448928833,6,9
0.22693350315093994,11,0
0.22652681767940522,0,6
0.22147638648748397,5,8
0.21837620437145233,0,8
0.21712547838687896,1,5
0.19816922545433044,0,0
0.1881268285214901,8,6
0.18470940813422204,5,1
0.18318949341773988,7,11
0.1796615958213806,6,1
0.1688070058822632,3,6
0.16541817039251328,10,7
0.16325440108776093,0,9
0.16025573313236235,0,7
0.15931432098150253,4,7
0.15289811342954635,1,0
0.15067625120282174,9,1
0.1457027718424797,7,5
0.1454215168952942,2,9
0.14340625554323197,6,8
0.14280855506658555,8,8
0.1422555223107338,0,11
0.14193434864282609,7,0
0.1350216805934906,5,6
0.1335358664393425,2,10
0.13338529765605928,11,10
0.13329489678144454,6,7
0.12955615893006325,2,2
0.12926656156778335,2,7
0.12921439856290817,5,4
0.12663326263427735,1,2
0.12357187867164612,1,3
0.12264466211199761,4,8
0.12188905477523804,3,10
0.11709045395255088,0,4
0.11627138257026673,3,3
0.11584931015968322,2,3
0.112099177390337,3,7
0.10756126940250396,2,0
0.10552350878715515,1,1
0.10443554371595383,6,5
0.10408346951007844,0,10
0.10255735665559769,3,11
0.10185022645164281,4,11
0.1001462996006012,1,4
0.09721721652895213,3,4
0.09621633365750312,6,0
0.09605119414627553,4,4
0.0943830206990242,6,6
0.09407553821802139,11,3
0.0927875891327858,2,5
0.0920263797044754,0,2
0.09158652797341346,3,2
0.09059132039546966,10,11
0.08985218852758407,8,9
0.08763686008751392,9,3
0.08631771504878998,6,11
0.08626805916428566,5,0
0.08564855754375458,4,3
0.08545678965747357,10,2
0.08478772342205047,1,8
0.08444176837801934,2,8
0.08434792533516884,8,5
0.08367812857031823,5,2
0.08245167657732963,7,8
0.08221213594079017,3,8
0.0814245030283928,1,7
0.08063941150903702,9,6
0.0802185791078955,10,1
0.07912839725613594,4,6
0.07722252309322357,8,1
0.0761383205652237,7,7
0.07545274645090103,1,11
0.07388436198234558,8,11
0.0727243259549141,5,3
0.0708266731351614,8,10
0.06823405642062426,2,4
0.06654939018189907,6,4
0.06537615656852722,2,6
0.06376926861703396,10,4
0.06293938979506493,7,6
0.06110669542104006,11,7
0.06071241796016693,4,1
0.060173216834664346,3,9
0.060021333023905755,9,7
0.05899682678282261,11,11
0.057255761325359346,6,10
0.0572504198178649,11,1
0.05613167956471443,1,6
0.05543974563479424,1,9
0.05480098463594914,10,5
0.05477775316685438,10,10
0.05470813326537609,5,9
0.05350230261683464,5,11
0.050665704905986785,11,4
0.050199317187070845,2,11
0.04994073361158371,7,3
0.04767354428768158,7,9
0.047583829564973715,4,0
0.046153567358851434,0,3
0.046149175614118576,4,9
0.045460070669651034,9,5
0.04200864508748055,6,3
0.041323465667665,4,10
0.040967644192278385,10,3
0.038608789630234244,3,1
0.03834806121885777,10,8
0.03826588299125433,7,4
0.03781367167830467,8,7
0.03769157659262419,11,5
0.037450694292783734,8,3
0.03666948117315769,8,0
0.03413248229771852,4,5
0.03406489696353674,11,2
0.03339867331087589,4,2
0.03251264095306396,9,10
0.030861411429941654,2,1
0.030561090260744096,7,1
0.02958556585945189,10,9
0.029403827711939813,5,10
0.029026822373270988,10,0
0.02867012396454811,8,2
0.028453846275806428,3,5
0.028084622137248515,9,9
0.027152355574071408,9,11
0.025940508395433427,11,9
0.025127820670604706,9,2
0.024895632453262807,9,0
0.024517922848463058,9,4
0.02271748222410679,11,6
0.01817830391228199,6,2
0.016276977490633726,10,6
0.015150185488164426,5,7
0.014111995277926326,7,2
0.010682375298347323,0,1
0.009086141252191737,0,5
0.007522752741351724,9,8
0.0067559583316324275,3,0
0.006306025153025985,8,4
