score,layer,head
0.45632779598236084,5,8
0.4079897701740265,11,8
0.3864002823829651,7,10
0.3684319853782654,9,1
0.3252907395362854,5,5
0.2663612365722656,4,8
0.2627280056476593,11,0
0.25863444805145264,8,6
0.25520989298820496,5,1
0.24285943806171417,1,10
0.2359878420829773,10,7
0.23167605698108673,6,1
0.2235405147075653,0,8
0.21324209868907928,8,8
0.1962151974439621,0,6
0.19086310267448425,5,4
0.18209412693977356,0,7
0.1797369122505188,7,8
0.1686282604932785,0,4
0.16731765866279602,3,11
0.1661403328180313,0,9
0.1640014350414276,7,5
0.1562633216381073,0,0
0.1531517654657364,4,7
0.1527089625597,3,6
0.1435627043247223,3,2
0.14312952756881714,8,11
0.14253638684749603,3,10
0.14091293513774872,3,7
0.14028169214725494,2,0
0.13870909810066223,6,9
0.13342693448066711,0,2
0.13179640471935272,10,2
0.12234397232532501,1,2
0.12223357707262039,0,11
0.12119093537330627,1,3
0.11646297574043274,4,3
0.11470911651849747,2,3
0.11433228105306625,11,10
0.11049391329288483,3,3
0.1093411073088646,5,6
0.10817491263151169,3,8
0.10657887905836105,2,7
0.10345453023910522,4,11
0.10245227068662643,6,7
0.1021837517619133,2,2
0.10123630613088608,2,10
0.09989126026630402,8,0
0.09907414764165878,2,9
0.0986345037817955,4,1
0.0980745181441307,6,10
0.09802419692277908,6,11
0.09431269019842148,5,9
0.0931103378534317,6,8
0.09246645867824554,6,0
0.0917457640171051,4,9
0.0915146991610527,0,10
0.09035419672727585,4,6
0.09030275046825409,9,6
0.08836562931537628,3,9
0.08770666271448135,1,4
0.0868062824010849,9,3
0.0862523540854454,1,1
0.0839235782623291,6,4
0.08365266770124435,6,6
0.08341966569423676,8,10
0.08256503939628601,7,0
0.08209144324064255,5,0
0.08191729336977005,5,2
0.07826487720012665,8,5
0.07802227139472961,5,11
0.07723483443260193,7,11
0.07550792396068573,10,10
0.07538215816020966,2,8
0.07318971306085587,5,3
0.0730736181139946,1,5
0.07259173691272736,8,1
0.07002780586481094,6,5
0.0683884397149086,1,8
0.06725281476974487,9,11
0.06645060330629349,7,1
0.06339647620916367,4,10
0.0609496645629406,1,0
0.059393588453531265,8,7
0.05822958052158356,7,6
0.057327233254909515,2,5
0.05690435320138931,7,7
0.05421297997236252,8,9
0.05233537778258324,1,7
0.05120069161057472,1,6
0.05098072066903114,7,3
0.05058575049042702,1,9
0.045660387724637985,7,9
0.045171257108449936,0,3
0.04476352035999298,2,6
0.0435783788561821,2,1
0.04349832981824875,3,4
0.04184999316930771,2,4
0.04075666889548302,11,3
0.040571149438619614,2,11
0.04045921191573143,9,7
0.03674089163541794,4,5
0.036410436034202576,3,5
0.03636821731925011,5,10
0.035076867789030075,4,0
0.033326391130685806,6,3
0.03311525285243988,11,11
0.032833993434906006,4,2
0.032377082854509354,9,5
0.03206173703074455,1,11
0.02989305555820465,10,8
0.029549147933721542,9,10
0.028703246265649796,11,4
0.027884172275662422,7,4
0.027615075930953026,8,3
0.02629464492201805,4,4
0.024223094806075096,3,1
0.021364731714129448,5,7
0.020632704719901085,10,5
0.018815763294696808,10,4
0.018031591549515724,10,9
0.01567809469997883,8,2
0.015545176342129707,10,3
0.014491154812276363,10,6
0.013787512667477131,11,7
0.013734410516917706,11,2
0.013563641346991062,11,5
0.013126131147146225,11,6
0.011067287065088749,11,1
0.010475731454789639,9,4
0.01020803488790989,9,0
0.00840976182371378,10,11
0.008269354701042175,11,9
0.007344012148678303,6,2
0.0043684346601367,9,2
0.004196587949991226,10,0
0.0036961876321583986,0,1
0.003046151716262102,0,5
0.0028205872513353825,9,8
0.002219985006377101,8,4
0.0019861937034875154,10,1
0.0019543978851288557,7,2
0.0012182047357782722,9,9
0.000205666568945162,3,0
