layer,0,1,2,3,4,5,6,7,8,9,10,11
0,0.19816922545433044,0.010682375298347323,0.0920263797044754,0.046153567358851434,0.11709045395255088,0.009086141252191737,0.22652681767940522,0.16025573313236235,0.21837620437145233,0.16325440108776093,0.10408346951007844,0.1422555223107338
1,0.15289811342954635,0.10552350878715515,0.12663326263427735,0.12357187867164612,0.1001462996006012,0.21712547838687896,0.05613167956471443,0.0814245030283928,0.08478772342205047,0.05543974563479424,0.2476791888475418,0.07545274645090103
2,0.10756126940250396,0.030861411429941654,0.12955615893006325,0.11584931015968322,0.06823405642062426,0.0927875891327858,0.06537615656852722,0.12926656156778335,0.08444176837801934,0.1454215168952942,0.1335358664393425,0.050199317187070845
3,0.0067559583316324275,0.038608789630234244,0.09158652797341346,0.11627138257026673,0.09721721652895213,0.028453846275806428,0.1688070058822632,0.112099177390337,0.08221213594079017,0.060173216834664346,0.12188905477523804,0.10255735665559769
4,0.047583829564973715,0.06071241796016693,0.03339867331087589,0.08564855754375458,0.09605119414627553,0.03413248229771852,0.07912839725613594,0.15931432098150253,0.12264466211199761,0.046149175614118576,0.041323465667665,0.10185022645164281
5,0.08626805916428566,0.18470940813422204,0.08367812857031823,0.0727243259549141,0.12921439856290817,0.42986758053302765,0.1350216805934906,0.015150185488164426,0.22147638648748397,0.05470813326537609,0.029403827711939813,0.05350230261683464
6,0.09621633365750312,0.1796615958213806,0.01817830391228199,0.04200864508748055,0.06654939018189907,0.10443554371595383,0.0943830206990242,0.13329489678144454,0.14340625554323197,0.23349839448928833,0.057255761325359346,0.08631771504878998
7,0.14193434864282609,0.030561090260744096,0.014111995277926326,0.04994073361158371,0.03826588299125433,0.1457027718424797,0.06293938979506493,0.0761383205652237,0.08245167657732963,0.04767354428768158,0.2574119731783867,0.18318949341773988
8,0.03666948117315769,0.07722252309322357,0.02867012396454811,0.037450694292783734,0.006306025153025985,0.08434792533516884,0.1881268285214901,0.03781367167830467,0.14280855506658555,0.08985218852758407,0.0708266731351614,0.07388436198234558
9,0.024895632453262807,0.15067625120282174,0.025127820670604706,0.08763686008751392,0.024517922848463058,0.045460070669651034,0.08063941150903702,0.060021333023905755,0.007522752741351724,0.028084622137248515,0.03251264095306396,0.027152355574071408
10,0.029026822373270988,0.0802185791078955,0.08545678965747357,0.040967644192278385,0.06376926861703396,0.05480098463594914,0.016276977490633726,0.16541817039251328,0.03834806121885777,0.02958556585945189,0.05477775316685438,0.09059132039546966
11,0.22693350315093994,0.0572504198178649,0.03406489696353674,0.09407553821802139,0.050665704905986785,0.03769157659262419,0.02271748222410679,0.06110669542104006,0.2946581721305847,0.025940508395433427,0.13338529765605928,0.05899682678282261
