,[CLS],the,small,brown,dog,quickly,crossed,the,narrow,bridge,.,[SEP]
[CLS],0.83003956,0.016850134,0.0035909826,0.0054964353,0.0023429338,0.004768221,0.005363985,0.012556037,0.0046140426,0.0067628305,0.09152664,0.01608836
the,0.89957845,0.043274373,0.0007586708,0.00069931167,0.00020224808,0.00020927515,0.0018049311,1.0421412e-05,7.0012643e-06,6.2950836e-05,0.0031380665,0.05025438
small,0.09373901,0.86171156,0.0150530785,0.005573928,0.0035978768,0.0009365626,0.0006964852,0.0003124374,4.6978193e-06,3.5449186e-05,0.00051169994,0.017827217
brown,0.33123395,0.14852162,0.45871076,0.04625808,0.0034085724,0.0013500657,0.00070729543,0.0011651004,7.2085124e-05,8.437588e-06,0.00023572311,0.008328412
dog,0.14955366,0.039115384,0.014764632,0.77472997,0.004383204,0.00023903562,0.0019731652,0.003679272,0.0010219566,0.00018232991,0.00066732254,0.009690051
quickly,0.72353923,0.0076742354,0.0016172965,0.028689846,0.1878685,0.004568482,0.008999955,0.006830197,0.00051461585,0.00059422903,0.007389765,0.021713734
crossed,0.5138706,0.0059872624,0.0025575412,0.007562652,0.16818577,0.22257113,0.00954581,0.0202064,0.0057892175,0.001668521,0.016770039,0.02528513
the,0.0639504,0.0004520961,0.00011435229,7.622104e-05,0.001042414,0.0031641382,0.9006346,0.019057907,0.00023240109,0.0005985118,0.0026631998,0.008013741
narrow,0.098132566,0.0032703194,0.0066904537,0.001094908,0.007085169,0.0017420831,0.03314369,0.8323122,0.005037653,0.00088521594,0.0064856154,0.0041201166
bridge,0.30909976,0.0004514867,0.00046840907,0.007961075,0.003914298,0.002074297,0.0070730727,0.19009542,0.4438735,0.008443627,0.021576345,0.004968597
.,0.59791523,0.00055587204,6.546791e-05,0.00039266777,0.002847175,0.0018068997,0.0019728406,0.005771815,0.007492731,0.32130474,0.050957955,0.00891668
[SEP],0.8463864,0.02167368,0.0050801295,0.009442815,0.0054261144,0.0052294517,0.007177072,0.017208612,0.007470619,0.009564704,0.047972616,0.017367557
