mean_score,layer,head
0.579830813407898,3,5
0.44268262982368467,0,3
0.41728363633155824,6,11
0.40106825828552245,1,4
0.3744617462158203,0,2
0.36839416027069094,7,4
0.21758265495300294,5,10
0.19745287895202637,6,9
0.145524325966835,0,11
0.13930097222328186,7,9
0.13735513836145402,2,1
0.13188768476247786,4,6
0.1277773842215538,3,11
0.11913004517555237,4,7
0.10321874171495438,4,1
0.09680664539337158,7,0
0.09548163563013076,4,10
0.09483562409877777,0,4
0.09438459575176239,8,11
0.0877453163266182,6,3
0.0870258316397667,0,6
0.08695237040519714,3,8
0.08621670156717301,0,8
0.08326554745435714,8,8
0.08140208721160888,0,0
0.08024633675813675,8,10
0.07832441180944442,0,1
0.07721336111426354,0,5
0.07671194672584533,2,11
0.07395972162485123,5,6
0.07027809619903565,10,0
0.07026174664497375,6,4
0.06759548336267471,8,9
0.06605457216501236,4,4
0.06377541199326515,7,11
0.06344726458191871,3,4
0.06275066211819649,10,2
0.06273964568972587,0,7
0.061072885245084765,3,1
0.060349127650260924,2,10
0.05990256369113922,8,7
0.05941381007432937,7,5
0.05917923972010612,7,3
0.05886028409004211,1,10
0.05786096826195717,2,5
0.05764393582940101,9,2
0.057275810092687604,9,3
0.05439949706196785,4,0
0.0533047616481781,5,1
0.05319022405892611,1,7
0.053091004863381384,3,10
0.05305216908454895,2,4
0.051956956833601,8,3
0.0518870897591114,10,11
0.04877759516239166,5,2
0.04873969405889511,11,8
0.04870325103402138,0,10
0.0486482959240675,9,8
0.04814641922712326,9,10
0.04794897809624672,9,5
0.04737976267933845,6,1
0.04735077545046806,9,4
0.04653604179620743,1,3
0.04636891633272171,6,10
0.046368358284235,1,8
0.045608822256326675,6,7
0.044710681587457654,11,9
0.04417143315076828,6,5
0.043901892751455306,2,7
0.043270083516836165,3,7
0.04271389618515968,0,9
0.042695825919508934,2,3
0.0423582199960947,6,2
0.04214947074651718,8,6
0.0421476349234581,4,2
0.041981858760118486,5,4
0.0414506271481514,5,3
0.03983718156814575,1,2
0.03913743756711483,4,9
0.03880253136157989,3,2
0.03801558688282967,11,2
0.037967244535684584,2,8
0.03623200803995132,3,6
0.03529247865080833,3,3
0.03505853489041329,7,8
0.032109036669135095,10,8
0.031271015480160716,1,0
0.029212554916739464,1,9
0.028743402659893037,4,8
0.026563679054379463,5,8
0.02585470713675022,7,7
0.02579758446663618,9,9
0.024461629986763,9,11
0.024191846325993537,7,1
0.023682698048651217,1,5
0.02363738100975752,8,4
0.023359242454171182,9,0
0.02279516253620386,10,3
0.022694043815135956,8,1
0.022412234917283058,11,5
0.021979113668203355,6,6
0.021872693207114935,2,2
0.0217667855322361,6,0
0.021631695702672003,5,0
0.02134181298315525,10,4
0.021218664199113845,6,8
0.020896900072693826,7,2
0.020760375261306762,10,10
0.020003372244536875,7,10
0.019936476834118366,11,10
0.019141922146081923,10,7
0.01846485324203968,9,7
0.018163186870515345,11,6
0.01727759838104248,9,1
0.016625824198126794,10,6
0.01526660993695259,5,11
0.015239792503416538,11,1
0.014621150493621827,1,11
0.013050123676657676,4,5
0.012938370369374752,11,3
0.012390230316668749,10,5
0.012256707157939672,11,4
0.012002827599644661,9,6
0.01186930425465107,10,9
0.011657911632210017,11,0
0.010781764797866345,8,5
0.010751701612025499,1,1
0.009988723602145911,11,11
0.009571761451661586,5,5
0.009393641166388989,8,0
0.009189122170209885,5,7
0.009087633527815341,11,7
0.009017976000905037,2,6
0.008928128238767385,7,6
0.008867517486214638,10,1
0.008136756438761949,5,9
0.007466300111263991,4,11
0.0044430253561586145,1,6
0.004377541644498706,3,9
0.0038331763353198767,8,2
0.0024122573900967836,3,0
0.0006336906109936536,4,3
6.301326777702343e-07,2,0
3.6545343959915046e-07,2,9
