score,layer,head
0.5559685230255127,3,5
0.42584937810897827,6,11
0.4053279459476471,0,3
0.4002784490585327,0,2
0.39388507604599,7,4
0.2927054166793823,1,4
0.2222256362438202,5,10
0.19290293753147125,6,9
0.17295044660568237,0,11
0.1315203756093979,7,9
0.12907971441745758,2,1
0.12698796391487122,3,11
0.1214904636144638,6,3
0.1114448681473732,5,6
0.10967127233743668,4,6
0.1089734211564064,10,0
0.10355643928050995,4,7
0.09598028659820557,7,0
0.08902157843112946,3,4
0.08369269967079163,8,11
0.08222192525863647,0,1
0.08188651502132416,4,10
0.0811999961733818,0,7
0.08076528459787369,8,10
0.08014223724603653,2,10
0.0786779597401619,0,8
0.07362672686576843,0,0
0.07315001636743546,4,4
0.07291062921285629,6,10
0.07279320806264877,0,4
0.07271137833595276,8,9
0.07228570431470871,10,2
0.07163912802934647,4,1
0.06967601180076599,0,6
0.06786835938692093,2,11
0.06776440888643265,9,2
0.06767723709344864,3,8
0.06752768903970718,1,3
0.06686094403266907,9,8
0.0668293759226799,7,5
0.06593789160251617,8,7
0.06580895185470581,11,8
0.06402269005775452,8,8
0.06376952677965164,8,3
0.06169019266963005,4,0
0.05818357691168785,1,2
0.057483330368995667,0,5
0.0573323555290699,7,11
0.056817397475242615,1,7
0.05535160005092621,3,10
0.05484895035624504,5,1
0.05329526960849762,6,1
0.05232255160808563,3,7
0.05225895345211029,6,4
0.052258629351854324,5,2
0.052241772413253784,2,4
0.052142202854156494,3,2
0.05132662132382393,1,10
0.05072794482111931,2,8
0.0507056899368763,2,5
0.049598000943660736,3,1
0.049500033259391785,2,7
0.0494190976023674,4,2
0.04741700366139412,7,3
0.04497002065181732,9,5
0.044525183737277985,0,10
0.04393325001001358,9,10
0.04285450279712677,2,3
0.04143448546528816,10,11
0.04110446572303772,5,4
0.03967538848519325,9,4
0.03903751075267792,9,3
0.03813740983605385,0,9
0.038073062896728516,11,9
0.03753441572189331,3,6
0.03608430176973343,6,2
0.03580990806221962,8,6
0.03559169918298721,9,0
0.035245150327682495,10,8
0.03490162640810013,5,3
0.03433084115386009,6,7
0.03399958834052086,1,8
0.0339706689119339,4,8
0.033701393753290176,4,9
0.03241846337914467,3,3
0.02958551049232483,10,6
0.029235051944851875,7,8
0.0262143574655056,1,0
0.02614893764257431,1,9
0.02597206085920334,11,2
0.02570381574332714,7,7
0.025522708892822266,6,0
0.025493212044239044,6,5
0.025194354355335236,10,4
0.02448500692844391,6,6
0.02440064027905464,5,8
0.02406078204512596,5,0
0.02389523945748806,8,1
0.022345425561070442,11,5
0.02197246067225933,8,4
0.0215353574603796,7,1
0.020793000236153603,11,6
0.0198520440608263,6,8
0.019647683948278427,9,11
0.01670096628367901,7,2
0.016235442832112312,1,11
0.016140203922986984,9,1
0.01599012315273285,7,10
0.015714067965745926,10,3
0.015031369403004646,5,11
0.015014681965112686,11,10
0.014443178661167622,1,1
0.01345802191644907,5,5
0.012907830998301506,5,7
0.01222932618111372,7,6
0.012098899111151695,10,10
0.011948276311159134,9,9
0.011674614623188972,9,7
0.010969441384077072,10,9
0.010930763557553291,1,5
0.01047387346625328,10,7
0.01020112819969654,8,5
0.01004517450928688,8,0
0.009341808967292309,2,6
0.00884118303656578,2,2
0.00880385935306549,11,1
0.00860597938299179,9,6
0.008586667478084564,11,7
0.007977133616805077,11,3
0.00789504311978817,11,11
0.007882548496127129,10,1
0.007394347805529833,4,11
0.006871310994029045,1,6
0.006781855598092079,4,5
0.006712688133120537,5,9
0.006186040583997965,11,0
0.005932984407991171,10,5
0.005719845183193684,11,4
0.00563221238553524,3,0
0.004572348669171333,3,9
0.002034867415204644,8,2
0.000921897473745048,4,3
8.592278391006403e-07,2,0
4.5827047756574757e-07,2,9
