layer,0,1,2,3,4,5,6,7,8,9,10,11
0,0.08140208721160888,0.07832441180944442,0.3744617462158203,0.44268262982368467,0.09483562409877777,0.07721336111426354,0.0870258316397667,0.06273964568972587,0.08621670156717301,0.04271389618515968,0.04870325103402138,0.145524325966835
1,0.031271015480160716,0.010751701612025499,0.03983718156814575,0.04653604179620743,0.40106825828552245,0.023682698048651217,0.0044430253561586145,0.05319022405892611,0.046368358284235,0.029212554916739464,0.05886028409004211,0.014621150493621827
2,6.301326777702343e-07,0.13735513836145402,0.021872693207114935,0.042695825919508934,0.05305216908454895,0.05786096826195717,0.009017976000905037,0.043901892751455306,0.037967244535684584,3.6545343959915046e-07,0.060349127650260924,0.07671194672584533
3,0.0024122573900967836,0.061072885245084765,0.03880253136157989,0.03529247865080833,0.06344726458191871,0.579830813407898,0.03623200803995132,0.043270083516836165,0.08695237040519714,0.004377541644498706,0.053091004863381384,0.1277773842215538
4,0.05439949706196785,0.10321874171495438,0.0421476349234581,0.0006336906109936536,0.06605457216501236,0.013050123676657676,0.13188768476247786,0.11913004517555237,0.028743402659893037,0.03913743756711483,0.09548163563013076,0.007466300111263991
5,0.021631695702672003,0.0533047616481781,0.04877759516239166,0.0414506271481514,0.041981858760118486,0.009571761451661586,0.07395972162485123,0.009189122170209885,0.026563679054379463,0.008136756438761949,0.21758265495300294,0.01526660993695259
6,0.0217667855322361,0.04737976267933845,0.0423582199960947,0.0877453163266182,0.07026174664497375,0.04417143315076828,0.021979113668203355,0.045608822256326675,0.021218664199113845,0.19745287895202637,0.04636891633272171,0.41728363633155824
7,0.09680664539337158,0.024191846325993537,0.020896900072693826,0.05917923972010612,0.36839416027069094,0.05941381007432937,0.008928128238767385,0.02585470713675022,0.03505853489041329,0.13930097222328186,0.020003372244536875,0.06377541199326515
8,0.009393641166388989,0.022694043815135956,0.0038331763353198767,0.051956956833601,0.02363738100975752,0.010781764797866345,0.04214947074651718,0.05990256369113922,0.08326554745435714,0.06759548336267471,0.08024633675813675,0.09438459575176239
9,0.023359242454171182,0.01727759838104248,0.05764393582940101,0.057275810092687604,0.04735077545046806,0.04794897809624672,0.012002827599644661,0.01846485324203968,0.0486482959240675,0.02579758446663618,0.04814641922712326,0.024461629986763
10,0.07027809619903565,0.008867517486214638,0.06275066211819649,0.02279516253620386,0.02134181298315525,0.012390230316668749,0.016625824198126794,0.019141922146081923,0.032109036669135095,0.01186930425465107,0.020760375261306762,0.0518870897591114
11,0.011657911632210017,0.015239792503416538,0.03801558688282967,0.012938370369374752,0.012256707157939672,0.022412234917283058,0.018163186870515345,0.009087633527815341,0.04873969405889511,0.044710681587457654,0.019936476834118366,0.009988723602145911
