,[CLS],the,physician,discussed,the,diagnosis,with,the,patient,.,[SEP]
[CLS],0.4461959,0.14428549,0.014470429,0.02784238,0.15648511,0.022096008,0.013664447,0.13684371,0.025258752,0.005480865,0.0073768296
the,0.0037203808,0.028448634,0.15411209,0.20652056,0.06769726,0.17888212,0.08735149,0.033280287,0.09141551,0.0827506,0.065821156
physician,0.015955051,0.063958935,0.0833008,0.15463749,0.14286157,0.24793011,0.05821147,0.08809189,0.10414433,0.017144857,0.023763543
discussed,0.0076948763,0.014138834,0.18498269,0.08211669,0.01867744,0.37432086,0.064612634,0.01615178,0.09013995,0.09277284,0.054391433
the,0.0023857977,0.034616463,0.1579108,0.11358023,0.035232175,0.16127197,0.10965785,0.058369458,0.12519138,0.09125959,0.11052426
diagnosis,0.011706933,0.033494912,0.16526899,0.109117106,0.033373564,0.09251999,0.08639578,0.06699093,0.34531066,0.024657924,0.031163255
with,0.00119079,0.0094466815,0.25398105,0.092258215,0.0119306035,0.15008774,0.017711647,0.01717541,0.18313865,0.10002152,0.16305777
the,0.0028232124,0.024593249,0.10166854,0.091591306,0.033867203,0.100494705,0.06497131,0.033223443,0.14600381,0.15010913,0.25065407
patient,0.009193519,0.030993689,0.17394334,0.12984692,0.031199683,0.14632688,0.06070932,0.0367639,0.110740975,0.07914655,0.19113529
.,0.0105331475,0.048200663,0.105742216,0.06592027,0.043496124,0.08039261,0.12232699,0.06077935,0.060046252,0.2151561,0.18740633
[SEP],0.064570464,0.14439513,0.078527056,0.08532786,0.13746993,0.079007186,0.059820358,0.2028491,0.050120004,0.059589587,0.038323358
