mean_score,layer,head
0.3657244861125946,0,8
0.32580181062221525,0,0
0.3135833203792572,0,7
0.2673306405544281,0,9
0.26102264821529386,0,5
0.26062956899404527,0,1
0.24790509641170502,2,10
0.17709683626890182,0,6
0.15532112326472997,2,2
0.15094695761799812,3,3
0.146454852912575,3,10
0.14024995621293784,4,5
0.13128206357359887,2,7
0.11830755062401295,4,0
0.11349460543133319,3,4
0.1074195958673954,10,8
0.08778173699975014,10,6
0.0841552697122097,3,6
0.08225293150171638,2,4
0.07864704951643944,0,11
0.0768747441470623,11,8
0.07414739737287164,9,1
0.07398211881518364,5,8
0.06931038275361061,0,4
0.06351154176518321,6,5
0.06345890555530787,9,8
0.06137467250227928,7,5
0.058770380169153216,8,3
0.058212710171937944,5,0
0.056512458622455596,8,7
0.055897428467869756,6,7
0.05554124154150486,11,9
0.05490705035626888,4,4
0.05033967822091654,3,8
0.04818378066411242,4,2
0.04735473394393921,9,5
0.04594410806894302,10,0
0.04581169523298741,2,5
0.04573928341269493,4,1
0.045701613463461396,4,6
0.04495802391320467,4,9
0.04411391168832779,2,11
0.043088577408343556,1,11
0.04003601148724556,8,8
0.039790958631783724,1,8
0.03890610542148352,8,1
0.03854968175292015,0,10
0.038458507508039474,1,5
0.03439479065127671,2,1
0.0328333099372685,9,10
0.032448436692357065,3,1
0.03243203684687614,11,2
0.0321535219438374,4,8
0.03213307922706008,8,11
0.03165123555809259,2,3
0.03147529661655426,1,0
0.031354864779859784,10,3
0.030482493713498114,9,2
0.030481311213225126,11,5
0.0298486839979887,10,4
0.02861117497086525,6,8
0.028582990914583207,1,10
0.028288411535322668,3,9
0.028221669793128967,11,1
0.027286988124251364,7,1
0.02702622003853321,11,6
0.02603775807656348,2,6
0.025389577262103558,10,11
0.023492457601241766,9,7
0.02316861441358924,7,10
0.022026794403791426,11,4
0.021854676865041257,10,9
0.021850663423538207,5,2
0.02130452897399664,6,1
0.02093138378113508,5,4
0.020903056487441063,10,7
0.020345642417669296,10,5
0.019046312011778355,11,7
0.018321427062619477,0,2
0.017965455260127782,7,8
0.016701351944357158,1,9
0.016449672542512415,9,0
0.01634729327633977,3,7
0.016317103803157807,7,0
0.015971919102594257,5,11
0.015755639411509037,8,0
0.015557527402415871,11,3
0.015463272761553525,8,10
0.014574319450184703,7,9
0.013953488785773516,1,3
0.013776268507353962,1,2
0.013562972657382488,6,6
0.013549880124628544,8,9
0.013500373996794223,10,1
0.013138438388705254,11,10
0.012898254580795765,9,4
0.011465911753475666,3,2
0.01140428762009833,10,2
0.011195092694833875,11,0
0.010773725109174848,9,3
0.01003394420258701,5,5
0.0099744176492095,6,4
0.009103994909673929,6,9
0.009068874688819051,1,7
0.00890416195616126,5,7
0.008189671905711293,11,11
0.007966308994218707,1,4
0.007703411346301437,9,11
0.007621375937014818,4,10
0.007335259765386582,7,2
0.007117129769176245,9,9
0.006646236940287054,1,1
0.0058360636001452805,4,7
0.005723054707050324,6,2
0.005645939102396369,2,8
0.004980155010707676,5,3
0.004807848203927279,6,0
0.004360656847711653,10,10
0.003684073220938444,9,6
0.00352720984374173,6,10
0.003431375219952315,8,5
0.003371521015651524,8,4
0.0033242724952287973,3,11
0.003276694111991674,1,6
0.003185891982866451,4,3
0.0029306084732525052,7,6
0.0028983715223148466,0,3
0.002722090505994856,5,9
0.002648669642803725,7,3
0.0026135631720535456,4,11
0.002406016178429127,5,10
0.0023758015013299882,7,4
0.0013974186265841126,7,11
0.001037921430543065,3,5
0.001026624900259776,5,1
0.000990730372723192,7,7
0.0008089222596026957,8,6
0.0007800802006386221,5,6
0.000767370800167555,6,11
0.0006236747663933784,8,2
0.0005521152692381292,6,3
0.0004163664685620461,3,0
3.487808176316776e-06,2,0
1.4015223646524077e-06,2,9
