score,layer,head
0.34531065821647644,0,8
0.2654792070388794,2,10
0.24110573530197144,0,9
0.22817732393741608,0,5
0.2115321010351181,0,0
0.17449818551540375,0,7
0.17182257771492004,10,8
0.13863585889339447,8,3
0.1347842961549759,2,7
0.12180061638355255,2,2
0.11543770134449005,0,1
0.10767233371734619,4,5
0.10736725479364395,0,6
0.1037292331457138,0,11
0.08971353620290756,8,7
0.08850082010030746,1,11
0.08246710896492004,5,0
0.07708267867565155,9,8
0.07603761553764343,10,0
0.06701010465621948,4,6
0.06652896106243134,11,9
0.06256416440010071,3,3
0.061003196984529495,9,5
0.05927962437272072,3,4
0.05782662332057953,3,10
0.05749761313199997,3,6
0.04592932015657425,4,4
0.04566998407244682,7,5
0.044867951422929764,11,8
0.04382846876978874,3,9
0.0425180047750473,6,8
0.04204995930194855,11,1
0.04041637107729912,2,6
0.039741285145282745,8,8
0.03971698135137558,2,5
0.03834789991378784,11,6
0.03739017993211746,6,6
0.035797443240880966,2,11
0.03569115325808525,10,6
0.03311287984251976,6,1
0.031248431652784348,8,1
0.031103001907467842,4,1
0.02947530895471573,11,3
0.029233302921056747,11,4
0.029208555817604065,1,5
0.029171079397201538,9,2
0.02878546714782715,8,0
0.028304889798164368,4,9
0.027992703020572662,5,11
0.027776602655649185,5,2
0.027003062888979912,0,10
0.02615525759756565,11,2
0.0257696732878685,10,5
0.024410102516412735,0,4
0.024181272834539413,1,2
0.023717811331152916,4,0
0.022620435804128647,10,4
0.02259392850100994,8,11
0.021792523562908173,1,10
0.020327936857938766,7,1
0.01829240471124649,10,2
0.017921561375260353,7,8
0.017917590215802193,5,4
0.01771056279540062,1,7
0.01738768443465233,6,9
0.017375245690345764,11,10
0.01731988601386547,10,9
0.01716449484229088,5,5
0.016825273633003235,3,8
0.016266796737909317,1,8
0.01560493465512991,7,9
0.01513917651027441,9,4
0.015021611005067825,10,11
0.014834192581474781,5,8
0.01427884679287672,2,3
0.013853492215275764,10,1
0.013819101266562939,9,0
0.013485250994563103,1,0
0.013352897018194199,3,1
0.013301591388881207,6,10
0.012535933405160904,7,0
0.011858489364385605,9,3
0.011450770311057568,9,7
0.011168918572366238,6,4
0.010733011178672314,7,10
0.010610396042466164,4,10
0.010556994937360287,8,9
0.009802381508052349,10,10
0.009630890563130379,1,4
0.00953717902302742,3,7
0.00798093806952238,9,6
0.007562567014247179,5,7
0.007504629902541637,1,9
0.007273984607309103,9,1
0.007079961709678173,11,5
0.006922826636582613,6,0
0.00608049426227808,8,5
0.005706166848540306,6,5
0.005051574669778347,5,3
0.005003674887120724,7,2
0.004946660716086626,9,10
0.004750399384647608,4,8
0.004721753299236298,6,7
0.004644707776606083,7,6
0.00431425403803587,4,3
0.004012060351669788,2,8
0.003979463595896959,7,3
0.003947895485907793,2,4
0.003896926296874881,3,2
0.0038326268550008535,8,4
0.003684291848912835,1,6
0.003539595054462552,11,0
0.0035122502595186234,11,7
0.0033584681805223227,6,2
0.0030559867154806852,9,9
0.0028362369630485773,5,9
0.0027586689684540033,0,3
0.0026223696768283844,8,10
0.0025635447818785906,2,1
0.0025100531056523323,10,3
0.002119870390743017,11,11
0.0019907387904822826,5,10
0.001662120339460671,10,7
0.0013611754402518272,1,1
0.0013256288366392255,8,2
0.0012492220848798752,4,7
0.0011644501937553287,4,2
0.0009803306311368942,7,11
0.0008782887016423047,5,6
0.0007662876159884036,1,3
0.000758178997784853,3,11
0.0007338837021961808,4,11
0.0007260252023115754,8,6
0.0007026754901744425,7,7
0.0006634443998336792,0,2
0.0006387804169207811,3,0
0.0006050041411072016,9,11
0.0005793379386886954,7,4
0.0005529884365387261,6,3
0.0002760583010967821,6,11
0.00016612702165730298,3,5
0.00010847387602552772,5,1
7.198702434152437e-08,2,0
9.303920300851587e-09,2,9
