layer,0,1,2,3,4,5,6,7,8,9,10,11
0,0.32580181062221525,0.26062956899404527,0.018321427062619477,0.0028983715223148466,0.06931038275361061,0.26102264821529386,0.17709683626890182,0.3135833203792572,0.3657244861125946,0.2673306405544281,0.03854968175292015,0.07864704951643944
1,0.03147529661655426,0.006646236940287054,0.013776268507353962,0.013953488785773516,0.007966308994218707,0.038458507508039474,0.003276694111991674,0.009068874688819051,0.039790958631783724,0.016701351944357158,0.028582990914583207,0.043088577408343556
2,3.487808176316776e-06,0.03439479065127671,0.15532112326472997,0.03165123555809259,0.08225293150171638,0.04581169523298741,0.02603775807656348,0.13128206357359887,0.005645939102396369,1.4015223646524077e-06,0.24790509641170502,0.04411391168832779
3,0.0004163664685620461,0.032448436692357065,0.011465911753475666,0.15094695761799812,0.11349460543133319,0.001037921430543065,0.0841552697122097,0.01634729327633977,0.05033967822091654,0.028288411535322668,0.146454852912575,0.0033242724952287973
4,0.11830755062401295,0.04573928341269493,0.04818378066411242,0.003185891982866451,0.05490705035626888,0.14024995621293784,0.045701613463461396,0.0058360636001452805,0.0321535219438374,0.04495802391320467,0.007621375937014818,0.0026135631720535456
5,0.058212710171937944,0.001026624900259776,0.021850663423538207,0.004980155010707676,0.02093138378113508,0.01003394420258701,0.0007800802006386221,0.00890416195616126,0.07398211881518364,0.002722090505994856,0.002406016178429127,0.015971919102594257
6,0.004807848203927279,0.02130452897399664,0.005723054707050324,0.0005521152692381292,0.0099744176492095,0.06351154176518321,0.013562972657382488,0.055897428467869756,0.02861117497086525,0.009103994909673929,0.00352720984374173,0.000767370800167555
7,0.016317103803157807,0.027286988124251364,0.007335259765386582,0.002648669642803725,0.0023758015013299882,0.06137467250227928,0.0029306084732525052,0.000990730372723192,0.017965455260127782,0.014574319450184703,0.02316861441358924,0.0013974186265841126
8,0.015755639411509037,0.03890610542148352,0.0006236747663933784,0.058770380169153216,0.003371521015651524,0.003431375219952315,0.0008089222596026957,0.056512458622455596,0.04003601148724556,0.013549880124628544,0.015463272761553525,0.03213307922706008
9,0.016449672542512415,0.07414739737287164,0.030482493713498114,0.010773725109174848,0.012898254580795765,0.04735473394393921,0.003684073220938444,0.023492457601241766,0.06345890555530787,0.007117129769176245,0.0328333099372685,0.007703411346301437
10,0.04594410806894302,0.013500373996794223,0.01140428762009833,0.031354864779859784,0.0298486839979887,0.020345642417669296,0.08778173699975014,0.020903056487441063,0.1074195958673954,0.021854676865041257,0.004360656847711653,0.025389577262103558
11,0.011195092694833875,0.028221669793128967,0.03243203684687614,0.015557527402415871,0.022026794403791426,0.030481311213225126,0.02702622003853321,0.019046312011778355,0.0768747441470623,0.05554124154150486,0.013138438388705254,0.008189671905711293
