,[CLS],the,scientist,carefully,analyzed,the,complex,data,##set,.,[SEP]
[CLS],0.019486524,0.01448945,0.010395434,0.0017598765,0.0044756834,0.003587179,0.0015834298,0.0007357799,0.0014841327,0.018992135,0.92301035
the,0.057373203,0.049410366,0.04523443,0.006915025,0.011590741,0.0010740348,0.0008160566,0.00054597796,0.0016701613,0.048771955,0.776598
scientist,0.03029897,0.08912804,0.026012052,0.0022707519,0.0021483093,0.000260121,0.00030467048,0.00014311752,0.00065076724,0.009453319,0.8393299
carefully,0.07176985,0.21678329,0.32208472,0.03151101,0.054196198,0.01666045,0.013263353,0.0025966798,0.004599489,0.018794104,0.24774083
analyzed,0.045897186,0.15703227,0.47051054,0.022212895,0.062103394,0.006795175,0.015938694,0.0041648005,0.00773454,0.021821428,0.18578908
the,0.08500496,0.09795444,0.22995834,0.1332341,0.15276316,0.035211146,0.058230452,0.0066981134,0.013799197,0.014303361,0.17284279
complex,0.036710743,0.005217973,0.017749265,0.034368556,0.043886364,0.06330083,0.0070090424,0.0067908126,0.009394506,0.009763893,0.765808
data,0.07714223,0.009776729,0.067854725,0.003867127,0.02514333,0.092475645,0.015867343,0.0061583393,0.016235124,0.027091166,0.6583882
##set,0.0622243,0.013463749,0.032976586,0.0061640907,0.042395204,0.2852304,0.07274467,0.0138642015,0.017396925,0.052583072,0.40095684
.,0.028691176,0.05160866,0.06890901,0.20591952,0.2756662,0.11578602,0.10570568,0.040956795,0.053248942,0.023815151,0.029692855
[SEP],0.012791865,0.002971823,0.00413445,0.0012481713,0.00094325386,0.002520147,0.0010079251,0.000643024,0.0010071503,0.0068024476,0.96592975
