mean_score,layer,head
0.46357265710830686,4,10
0.3319005459547043,0,1
0.31263809353113176,0,3
0.2913329854607582,8,10
0.28650022447109225,7,4
0.2562205359339714,0,5
0.17114315629005433,0,8
0.16870394945144654,0,7
0.15990882068872453,0,9
0.15677882432937623,0,0
0.13534521460533142,0,6
0.13506678193807603,5,10
0.13446762636303902,3,11
0.12460873033851386,3,5
0.12205259948968887,8,8
0.12204941958189011,7,5
0.12072635404765605,2,10
0.11668337136507034,6,10
0.11616727411746978,6,9
0.1154783047735691,6,11
0.11103450283408164,3,8
0.10979600697755813,0,11
0.10646030455827712,5,3
0.10407730638980865,9,7
0.09944630861282348,3,1
0.09543089866638184,9,4
0.09537895619869233,10,6
0.09332116097211837,9,5
0.09036782085895538,10,4
0.08572924509644508,10,11
0.08118386790156365,0,4
0.08065027967095376,1,10
0.07837844714522361,8,7
0.07370278909802437,6,1
0.0707507299259305,10,8
0.06962521094828844,2,7
0.06914799511432648,2,4
0.06521538570523262,4,0
0.06476633325219154,9,2
0.06462805643677712,4,4
0.06373272575438023,9,8
0.060473790019750596,9,0
0.05734502449631691,6,7
0.05520598199218511,4,1
0.05398968607187271,11,5
0.05185586577281356,1,5
0.04968716073781252,8,1
0.04841430149972439,6,4
0.046517010778188705,3,4
0.04650999456644058,5,2
0.04601938519626856,10,0
0.04510292559862137,9,10
0.04423921667039395,11,9
0.043401248008012774,7,0
0.04143777042627335,8,11
0.03724145609885454,2,5
0.03653995729982853,3,6
0.03494067639112473,2,3
0.034587864950299266,2,11
0.03376181777566671,1,7
0.03215609611943364,4,6
0.03205476878210902,0,2
0.03032427914440632,10,2
0.029716662992723287,10,7
0.029546777345240118,3,2
0.02951750047504902,0,10
0.029257174208760263,10,5
0.028619379829615356,2,2
0.027370340935885907,1,0
0.027284893766045572,11,6
0.026986433379352092,3,7
0.026283235661685465,4,9
0.026271094381809235,11,0
0.025861324183642863,1,4
0.024928862508386374,8,3
0.024380745738744734,3,9
0.024204368237406015,1,8
0.02419624524191022,7,10
0.02408331772312522,3,10
0.023177776113152505,1,11
0.022689428087323903,5,4
0.022121807374060155,8,4
0.021072450652718545,3,3
0.020553167164325713,10,1
0.020248512364923955,5,9
0.019644383527338504,7,11
0.01916845180094242,5,8
0.01890803761780262,11,4
0.0186387088149786,5,0
0.018492332473397256,11,2
0.017343611735850573,2,6
0.016993763763457535,4,2
0.01679839063435793,6,2
0.016722118109464647,11,10
0.016331863682717086,11,8
0.015715056052431464,1,9
0.01473235348239541,7,9
0.01446706261485815,4,7
0.014116624742746353,11,11
0.013640092313289642,6,6
0.013417269673664124,2,1
0.013258371781557799,10,9
0.01324983248487115,7,1
0.012735246308147907,11,7
0.012459882721304893,6,0
0.01221959963440895,8,0
0.012065976532176137,9,11
0.011570782912895084,6,3
0.011489243805408477,8,9
0.011410882230848074,5,11
0.011391508765518666,11,1
0.011355072009610011,10,10
0.010745473206043243,2,8
0.010540518630295991,7,8
0.00962294228374958,11,3
0.00922606629319489,1,2
0.009163102693855762,9,1
0.009076192032080144,1,3
0.007563463039696216,6,8
0.007379730883985758,5,5
0.006720578670501709,9,9
0.006113989558070898,8,5
0.006104843004141003,10,3
0.0056434965692460535,8,6
0.005508381873369217,5,6
0.005180625896900892,6,5
0.0051538095343858,9,3
0.004778529680334031,4,5
0.004713649617042392,7,2
0.004698410397395492,7,3
0.004687451990321279,4,8
0.0035824008227791637,1,1
0.003550696070306003,5,1
0.0030286572291515768,5,7
0.0025427353859413413,1,6
0.002485099481418729,9,6
0.0023521351860836147,4,11
0.0011957907408941537,7,6
0.001161984057398513,8,2
0.0010370844902354293,3,0
0.0004740047501400113,7,7
0.0004493939399253577,4,3
2.619176235683085e-05,2,0
2.8858852391788757e-06,2,9
