score,layer,head
0.4705105423927307,4,10
0.31851422786712646,8,10
0.25559818744659424,3,5
0.2535111606121063,0,3
0.25346454977989197,7,4
0.21341060101985931,0,1
0.18719257414340973,3,8
0.17976020276546478,0,6
0.1682986617088318,0,8
0.15869827568531036,0,7
0.14800509810447693,7,5
0.13686750829219818,4,4
0.12782765924930573,8,8
0.12407312542200089,0,0
0.1175658106803894,3,11
0.11559382826089859,5,3
0.11040283739566803,3,1
0.10583595186471939,4,0
0.10240067541599274,9,2
0.09742771089076996,5,10
0.09648264944553375,9,4
0.09568708389997482,6,9
0.09161140024662018,1,10
0.09072669595479965,0,9
0.09039579331874847,7,0
0.09010569006204605,0,4
0.08286595344543457,10,4
0.07995947450399399,9,10
0.07347086817026138,0,5
0.07134027779102325,10,0
0.07074043154716492,9,5
0.06283579766750336,10,5
0.06192178279161453,10,11
0.060855913907289505,8,7
0.060354042798280716,6,4
0.058995407074689865,9,0
0.05743244290351868,8,1
0.05711795762181282,4,1
0.05570457503199577,10,6
0.05317320302128792,5,2
0.050714489072561264,6,11
0.05064826458692551,6,7
0.05044015869498253,6,10
0.049666400998830795,2,4
0.03976893797516823,3,6
0.039459940046072006,9,7
0.03883018717169762,1,5
0.037914928048849106,8,11
0.037595391273498535,11,9
0.03726084902882576,2,5
0.03655075654387474,0,10
0.03562772274017334,2,11
0.03505696728825569,1,11
0.03498760983347893,6,1
0.03375651314854622,2,3
0.0315343402326107,11,5
0.03104916773736477,2,2
0.030423371121287346,4,9
0.02951359935104847,8,3
0.0291290320456028,4,6
0.028199870139360428,10,9
0.027774235233664513,10,2
0.025836940854787827,7,10
0.024039871990680695,1,8
0.023167885839939117,10,1
0.022138655185699463,3,3
0.021742934361100197,2,6
0.02162669040262699,5,0
0.02132771909236908,0,2
0.021208234131336212,7,11
0.02113664336502552,9,8
0.02100413851439953,3,9
0.02093135565519333,7,1
0.019789576530456543,8,4
0.019725389778614044,6,2
0.019387802109122276,1,0
0.018945101648569107,3,7
0.018337814137339592,5,8
0.018312882632017136,8,0
0.01768641173839569,6,6
0.01749703288078308,11,6
0.01664547622203827,1,4
0.016020169481635094,11,0
0.015999332070350647,11,1
0.01571955718100071,9,11
0.01551514957100153,6,0
0.01546463742852211,10,8
0.015343953855335712,4,2
0.01507776603102684,7,9
0.015008902177214622,11,7
0.014183170162141323,11,11
0.01415290217846632,2,7
0.014040876179933548,3,4
0.013766029849648476,2,10
0.013393686152994633,5,9
0.012787391431629658,11,2
0.012065177783370018,0,11
0.011365143582224846,4,7
0.011333960108458996,11,4
0.010608470067381859,10,7
0.01038569025695324,1,7
0.010339641012251377,6,3
0.01009359024465084,3,2
0.00972103513777256,8,9
0.009540453553199768,11,10
0.009263848885893822,11,3
0.008935988880693913,7,8
0.008098664693534374,6,5
0.00725276954472065,9,3
0.007158237509429455,9,1
0.006938298232853413,7,2
0.006324574816972017,5,11
0.006004946306347847,11,8
0.005797100719064474,8,6
0.005725093651562929,8,5
0.0053843287751078606,7,3
0.005265419837087393,6,8
0.004669683985412121,9,9
0.004629726056009531,10,3
0.004547132644802332,5,4
0.004491932224482298,3,10
0.003962738439440727,5,5
0.0029771497938781977,5,6
0.0028675850480794907,1,9
0.0024929684586822987,1,2
0.0021912374068051577,9,6
0.0020423324313014746,4,8
0.0018180174520239234,1,6
0.0017710869433358312,4,5
0.0015406882157549262,4,11
0.0014885927084833384,2,8
0.0013245160225778818,5,1
0.0009394014487043023,5,7
0.0009059247677214444,1,1
0.0008858654764480889,2,1
0.0007271367940120399,7,6
0.0006554165738634765,8,2
0.00046149210538715124,7,7
0.0004560474772006273,4,3
0.0004101304803043604,1,3
0.0002619709412101656,10,10
0.00020378935732878745,3,0
4.411524230363284e-07,2,0
5.5379977936809155e-08,2,9
