layer,0,1,2,3,4,5,6,7,8,9,10,11
0,0.15677882432937623,0.3319005459547043,0.03205476878210902,0.31263809353113176,0.08118386790156365,0.2562205359339714,0.13534521460533142,0.16870394945144654,0.17114315629005433,0.15990882068872453,0.02951750047504902,0.10979600697755813
1,0.027370340935885907,0.0035824008227791637,0.00922606629319489,0.009076192032080144,0.025861324183642863,0.05185586577281356,0.0025427353859413413,0.03376181777566671,0.024204368237406015,0.015715056052431464,0.08065027967095376,0.023177776113152505
2,2.619176235683085e-05,0.013417269673664124,0.028619379829615356,0.03494067639112473,0.06914799511432648,0.03724145609885454,0.017343611735850573,0.06962521094828844,0.010745473206043243,2.8858852391788757e-06,0.12072635404765605,0.034587864950299266
3,0.0010370844902354293,0.09944630861282348,0.029546777345240118,0.021072450652718545,0.046517010778188705,0.12460873033851386,0.03653995729982853,0.026986433379352092,0.11103450283408164,0.024380745738744734,0.02408331772312522,0.13446762636303902
4,0.06521538570523262,0.05520598199218511,0.016993763763457535,0.0004493939399253577,0.06462805643677712,0.004778529680334031,0.03215609611943364,0.01446706261485815,0.004687451990321279,0.026283235661685465,0.46357265710830686,0.0023521351860836147
5,0.0186387088149786,0.003550696070306003,0.04650999456644058,0.10646030455827712,0.022689428087323903,0.007379730883985758,0.005508381873369217,0.0030286572291515768,0.01916845180094242,0.020248512364923955,0.13506678193807603,0.011410882230848074
6,0.012459882721304893,0.07370278909802437,0.01679839063435793,0.011570782912895084,0.04841430149972439,0.005180625896900892,0.013640092313289642,0.05734502449631691,0.007563463039696216,0.11616727411746978,0.11668337136507034,0.1154783047735691
7,0.043401248008012774,0.01324983248487115,0.004713649617042392,0.004698410397395492,0.28650022447109225,0.12204941958189011,0.0011957907408941537,0.0004740047501400113,0.010540518630295991,0.01473235348239541,0.02419624524191022,0.019644383527338504
8,0.01221959963440895,0.04968716073781252,0.001161984057398513,0.024928862508386374,0.022121807374060155,0.006113989558070898,0.0056434965692460535,0.07837844714522361,0.12205259948968887,0.011489243805408477,0.2913329854607582,0.04143777042627335
9,0.060473790019750596,0.009163102693855762,0.06476633325219154,0.0051538095343858,0.09543089866638184,0.09332116097211837,0.002485099481418729,0.10407730638980865,0.06373272575438023,0.006720578670501709,0.04510292559862137,0.012065976532176137
10,0.04601938519626856,0.020553167164325713,0.03032427914440632,0.006104843004141003,0.09036782085895538,0.029257174208760263,0.09537895619869233,0.029716662992723287,0.0707507299259305,0.013258371781557799,0.011355072009610011,0.08572924509644508
11,0.026271094381809235,0.011391508765518666,0.018492332473397256,0.00962294228374958,0.01890803761780262,0.05398968607187271,0.027284893766045572,0.012735246308147907,0.016331863682717086,0.04423921667039395,0.016722118109464647,0.014116624742746353
