parameters_N,kaplan_L_N_infinite_data
1000000,3.919852073509108
1173870.6742369705,3.8723850856222177
1377972.3598335567,3.825492893645174
1617561.3431177265,3.779168537154475
1898807.8244652613,3.7334051400130526
2228954.821151471,3.688195909349608
2616504.6987488237,3.6435341345503223
3071438.1348644765,3.599413186262765
3605471.154250506,3.555826515411868
4232356.854781981,3.51276765222782
4968239.5947343875,3.470230205285724
5832070.762841657,3.4282078605568946
6846096.838574658,3.386694380471632
8036432.311789226,3.345683602993354
9433732.216299774,3.3051694407039385
11073981.597318845,3.265145879900133
12999422.24413245,3.2256069797009217
15259640.55441083,3.1865468711656866
17912844.546220023,3.1479597564230577
21027362.904973336,3.109839907810305
24683404.67068651,3.072181667023159
28975124.8832427,3.03497944427592
34013049.38279253,2.9982277174717393
39926921.211834036,2.9619210313829543
46869041.92314193,2.9260539968413375
55018193.84315933,2.890621289938162
64584244.30196978,2.8556176512339464
75813550.40383849,2.8210378849777755
88995303.52885224,2.786876858336068
104468976.95733783,2.753129500630686
122633068.41775644,2.719790802586276
143955362.70729998,2.686855815586712
168984978.6812455,2.6543196509405544
198366510.86047336,2.6221774791553987
232856629.84981966,2.5904245292210093
273343569.0823559,2.5590560879011406
320869999.7370444,2.5280674990339254
376659882.93374157,2.4974541628407407
442149990.7374487,2.467211535243445
519026907.74083805,2.4373351271898738
609270466.1368687,2.4078205039875122
715204732.8767579,2.3786632846452367
839557861.9995104,2.349859141223016
985532353.5263166,2.321403798189502
1156887528.3162832,2.293293031787392
1358036342.880975,2.265522669406474
1594159037.456003,2.2380885889642688
1871336544.139434,2.2109867182941723
2196707090.7932353,2.1842130345410014
2578650033.7705836,2.157763563563866
3027001653.7634554,2.1316343793462664
3553308472.2197394,2.1058216034133395
4171124612.056516,2.0803214042561584
4896360860.681194,2.0551299967630015
5747694424.835359,2.030243641657512
6747049929.789544,2.005658644943664
7920164050.19254,1.981371357357439
9297248313.666952,1.9573781738251523
10913767146.51274,1.9336755329283377
12811351198.74218,1.9102599163751046
15038869469.554132,1.8871278484779053
17653687843.987263,1.8642758956376229
20723146452.190296,1.8417006658339041
24326293898.144154,1.8193988081216672
28555923019.901,1.7973670121337082
33520960608.830284,1.775602007589322
39349272630.95845,1.7541005638088865
46190957194.037476,1.732859489234313
54222210065.01592,1.7118756309553105
63649862287.638756,1.6911458742413858
74716706758.68066,1.6706671420795067
87707750939.57866,1.6504363947173688
102957556731.25127,1.6304506292121927
120858856537.90482,1.6107068789849797
141872667411.6599,1.5912022133801709
166540163750.32233,1.5719337372306377
195496614309.12595,1.552898590427936
229487742450.09912,1.534093947497769
269388930959.01642,1.5155170171805907
316227766016.83795,1.4971650420172808
