tokens_D,kaplan_L_D_infinite_model
10000000,4.408522564569528
11738706.742369704,4.336328570402323
13779723.598335568,4.2653168255527705
16175613.431177266,4.1954679694983605
18988078.244652614,4.126762958764627
22289548.211514715,4.059183061733164
26165046.987488236,3.992709853534673
30714381.348644763,3.927325211025632
36054711.54250506,3.8630113078472355
42323568.54781981,3.7997506095652485
49682395.94734388,3.7375258688894406
58320707.62841656,3.6763201209713228
68460968.38574658,3.616116678778871
80364323.11789225,3.556899128547009
94337322.16299774,3.498651325302584
110739815.97318822,3.4413573884626265
129994222.44132476,3.3850016975046966
152596405.5441083,3.329568887708136
179128445.46220022,3.275043845965047
210273629.04973292,3.2214117066598864
246834046.7068651,3.168657847616527
289751248.832427,3.116767886111696
340130493.8279246,3.065727674953687
399269212.1183404,3.0155232986252973
468690419.23141927,2.966141069489927
550181938.4315933,2.9175675240598
645842443.0196991,2.869789419325302
758135504.0383848,2.822793729144434
889953035.2885225,2.776567640691381
1044689769.5733783,2.7310985509632446
1226330684.1775644,2.686374063343989
1439553627.073,2.642381984224639
1689849786.8124552,2.59911031967884
1983665108.6047335,2.556547272192854
2328566298.4981966,2.514681237449104
2733435690.823559,2.4735008011623942
3208699997.370444,2.4329947359679363
3766598829.3374157,2.39315199836034
4421499907.374487,2.3539617256827343
5190269077.4083805,2.315413233165184
6092704661.368687,2.2774960110116167
7152047328.767578,2.240199721534451
8395578619.995104,2.2035141963361418
9855323535.263166,2.167429433536889
11568875283.162832,2.1319355950477425
13580363428.80975,2.0970230038883595
15941590374.560028,2.0626821415486893
18713365441.39434,2.028903645393867
21967070907.93235,1.9956783061115928
25786500337.705837,1.962997065201328
30270016537.634556,1.9308510125045963
35533084722.197395,1.8992313837757342
41711246120.56516,1.8681295582924242
48963608606.81194,1.8375370565053515
57476944248.353584,1.8074455377263556
67470499297.89545,1.7778467978544419
79201640501.9254,1.7487327671390251
92972483136.66951,1.7200955079798077
109137671465.12738,1.691927212762688
128113511987.42178,1.6642202017311023
150388694695.54132,1.6369669208922297
176536878439.87262,1.6101599399574869
207231464521.90295,1.5837919503167428
243262938981.44153,1.5578557630457135
285559230199.01,1.532344306945988
335209606088.30286,1.5072506266171428
393492726309.58453,1.4825678805604403
461909571940.37476,1.4582893393135692
542222100650.1592,1.4344083836159358
636498622876.3876,1.4109185026040034
747167067586.8066,1.3878132920361772
877077509395.7866,1.3650864525467634
1029575567312.5127,1.3427317879285245
1208588565379.048,1.320743203443351
1418726674116.599,1.2991147041606042
1665401637503.2234,1.27784039332267
1954966143091.2595,1.256914470737274
2294877424500.991,1.2363312311961276
2693889309590.164,1.2160850629194733
3162277660168.3794,1.1961704460260907
