compute_C_flops,hoffmann_N_opt,hoffmann_D_opt,hoffmann_compute_optimal_loss
1000000000000000000,80581983.80755946,2068286964.300712,3.5352977524509286
1190577239378779600,87186863.33038396,2275910983.797391,3.486528036688639
1417474162926807600,94333109.93614395,2504377243.3777885,3.439047264768811
1687612475788145200,102065096.62475087,2755777981.5639963,3.392821370956124
2009233002565054200,110430833.41651143,3032415465.2635756,3.347817189844873
2392147081462638600,119482265.45947307,3336823073.370696,3.3040024325640025
2848035868435793400,129275595.57105963,3671788496.8349023,3.2613456636110016
3390806681894060000,139871633.21673715,4040379267.6578093,3.2198162782980715
4037017258596549600,151336172.09261647,4445970850.606159,3.1793844807943756
4806380863064409000,163740398.65651307,4892277554.89855,3.140021262748597
5722367659350220000,177161334.14413092,5383386548.947085,3.101698382476511
6812920690579594000,191682312.81498697,5923795289.653263,3.0643883446985862
8111308307896889000,207393499.3976216,6518452709.026016,3.028064380813121
9657139052966040000,224392448.94705874,7172804535.299107,2.992700429690747
11497569953977403000,242784712.59083247,7892843163.588,2.958271118976501
13688745095370820000,262684492.9248032,8685162532.788822,2.9247517468860877
16297508346206400000,284215353.1283194,9557018511.269669,2.892118264483238
19403442495579197000,307510984.20179456,10516395344.35093,2.8603472584254686
23101297000831582000,332716035.0906945,11572078772.084824,2.8294159341658602
27503878409319346000,359987010.8504117,12733736486.929426,2.7993020995987905
32745491628777316000,389493244.42896193,14012006668.1283,2.769984149137901
38986037025490640000,421417948.1015711,15418595403.57231,2.7414410482148783
46415888336127920000,455959351.08581734,16966383891.310137,2.7136523181879015
55261700198540870000,493331930.4010531,18669546402.431274,2.686598021648969
65793322465756550000,533767742.6148958,20543680085.598934,2.660258748119521
78332032230838930000,577517864.7459276,22605947801.94953,2.634615600124127
93260334688321800000,624853953.2695743,24875235298.406662,2.609650179632236
111033631816764130000,676069930.9074838,27372324158.7657,2.5853445748582455
132194114846602870000,731483811.674084,30120082116.390533,2.561681347410454
157387304316189800000,791439675.5126028,33143672471.363064,2.538643519779637
187381742286038700000,856309804.7815465,36470784529.874146,2.5162145631583046
223092437440897880000,926496995.857685,40131887176.16479,2.4943783855818804
265608778294669480000,1002437060.2089556,44160507899.16979,2.4731193203832937
316227766016837940000,1084601530.4670508,48593539829.1179,2.4524221149527214
376493580679245600000,1173500588.3025305,53471579595.86012,2.4322719197943834
448244687928931800000,1269686232.2823596,58839299102.94662,2.4126542778725732
533669923120630200000,1373755705.379983,64745854622.0699,2.3935551142392586
635375263808450700000,1486355203.420348,71245336954.26526,2.3749607259358085
756463327554629000000,1608183887.4864967,78397266780.32838,2.356857772161627
900628020211275800000,1739998225.2020123,86267139736.75761,2.3392332647026
1.0722672220103254e+21,1882616687.8453977,94927026208.88647,2.322074558612531
1.276616949057406e+21,2036924832.462101,104456231333.96893,2.305369343140846
1.519911082952927e+21,2203880800.5304813,114942021258.36958,2.289105632900076
1.809571541243322e+21,2384521267.324313,126480422299.73828,2.2732717592667737
2.154434690031878e+21,2579967878.913099,139177100332.70538,2.257856362009703
2.565020905680051e+21,2791434216.7693815,153148328451.3046,2.242848381139277
3.0538555088334126e+21,3020233333.2279925,168522051769.7263,2.228237048972426
3.6358508611685927e+21,3267785904.5872393,185439059112.60706,2.2140118824071626
4.3287612810830613e+21,3535629052.476557,204054272324.8893,2.200162675401347
5.153724655961621e+21,3825425888.2652416,224538165008.45975,2.1866794916502115
6.135907273413189e+21,4138975839.775827,247078323677.99402,2.173552657457427
7.305271542664449e+21,4478225824.423588,271881165632.69873,2.160772754794577
8.697490026177799e+21,4845282338.1594095,299173829275.816,2.1483306145440584
1.0355033664891319e+22,5242424535.279303,329206254192.95624,2.1362173099205735
1.2328467394420634e+22,5672118380.316792,362253470038.1214,2.124424150066487
1.4677992676220736e+22,6137031959.891363,398618115188.49475,2.1129426738164465
1.747528400007683e+22,6640052049.587931,438633208233.1911,2.1017646436268067
2.08056753821718e+22,7184302038.73625,482665197676.6359,2.090882039665485
2.4770763559917138e+22,7773161324.389427,531117317784.96155,2.0802870540580267
2.949150729647062e+22,8410286294.924771,584433281307.505,2.069972085285735
3.511191734215142e+22,9099633033.559317,643101342890.405,2.059929732731857
4.180344961851453e+22,9845481882.752518,707658770394.0697,2.050152791371911
4.977023564332094e+22,10652464022.023594,778696765061.7828,2.0406342466043395
5.925530975545687e+22,11525590224.211872,856865875597.1089,2.0313672692177867
7.054802310718631e+22,12470281968.73581,942881955730.923,2.02234521049139
8.399287059458423e+22,13492405105.041918,1037532719836.054,2.013561597424558
1.0000000000000001e+23,14598306275.268362,1141684956624.205,2.005010128092831
1.1905772393787893e+23,15794852322.28191,1256292466986.4648,1.9966846671264773
1.4174741629268077e+23,17089472927.783684,1382404798670.2446,1.9885792413085868
1.6876124757881454e+23,18490206745.235237,1521176857782.678,1.9806880352895042
