compute_flops,N_opt,D_opt,predicted_optimal_loss
100000000000000000000,644857508.9987315,25845502974.052227,2.5998497468543653
111130516631913040000,676336282.4766971,27385419430.93763,2.5852246751444707
123499917268758000000,709351694.9266024,29017086576.38823,2.5708346891981977
137246096100755980000,743978757.508965,30745971063.36105,2.5566760102090296
152522295653902000000,780296143.0603971,32577865256.750343,2.5427449201115992
169498815139035120000,818386364.8386422,34518906639.82695,2.52903776060532
188364908948979450000,858335963.9930502,36575598376.943565,2.5155509321937206
209330896468233450000,900235706.1864556,38754831101.39983,2.5022808932392158
232630506715362850000,944180787.8151407,41063906001.461754,2.4892241590330757
258523483956219900000,990271052.2954732,43510559281.88471,2.4763773008803414
287298483335365700000,1038611216.9085749,46102988082.892166,2.4637369451994506
319276288806242500000,1089311110.7184546,48849877943.449844,2.4512997726363324
354813389233576000000,1142485924.1040964,51760431900.843666,2.439062517192753
394305952534473600000,1198256470.4725156,54844401324.05928,2.427021965368659
438194242161942700000,1256749460.7473364,58112118584.26233,2.415174955318318
486967525165863140000,1318097791.2565787,61574531671.83983,2.403518376020014
541169526546464830000,1382440845.6736658,65243240875.97767,2.3920491664590964
601404490705559400000,1449924811.6977484,69130537649.66844,2.3807643148241606
668343917568613500000,1520703013.1928093,73249445790.3588,2.369660857716141
742734048471967200000,1594936258.5401165,77613765074.20299,2.35873587937013
825404185268020700000,1672793205.9955852,82238117490.11821,2.347986510889695
917275935389776600000,1754450746.8820546,87137996228.537,2.337409929493509
1.0193734859388716e+21,1840094407.4871702,92329817588.99025,2.327003357774084
1.1328350213326095e+21,1929918770.579876,97830975980.42322,2.316764062968432
1.2589254117941712e+21,2024127917.503336,103659902198.52242,2.3066893562404367
1.39905031413729e+21,2122935891.8486173,109836125175.29648,2.296776591974769
1.5547718420411727e+21,2226567185.762692,116380337407.79865,2.287023167082145
1.7278259805078663e+21,2335257249.9955225,123314464285.19276,2.2774265203157613
1.920141938638809e+21,2449253028.8452196,130661737546.44136,2.2679841315987077
2.1338636564753217e+21,2568813521.216543,138446773114.71777,2.2586935213621966
2.3713737056616553e+21,2694210369.0675774,146695653569.3204,2.24955224989443
2.635319850375139e+21,2825728474.5813823,155436015531.38977,2.2405579166999305
2.9286445646252254e+21,2963666647.465018,164697142256.2118,2.231708159869174
3.2546178349804536e+21,3108338283.846531,174510061742.3197,2.2230006554583497
3.616873614408161e+21,3260072078.312257,184907650686.08603,2.2144331168790954
4.019450333615136e+21,3419212770.7023864,195924744630.1037,2.20600329429804
4.4668359215096167e+21,3586121929.361358,207598254674.37885,2.197708974045997
4.96401783667351e+21,3761178772.6227636,219967291141.3693,2.1895479780366545
5.516538667595586e+21,3944781030.394965,233073294609.1745,2.1815181631946126
6.130557921498228e+21,4137345847.8052297,246960174751.9019,2.1736174208926116
6.812920690579594e+21,4339310732.955242,261674457452.35928,2.1658436763978073
7.571233961163601e+21,4551134550.941475,277265440679.9637,2.1581948883269435
8.413951416451964e+21,4773298566.398588,293785359656.09326,2.150669048110291
9.350467678261234e+21,5006307536.93483,311289561860.26825,2.1432641794641927
1.0391223038351669e+22,5250690859.94348,329836692463.47186,2.1359783378720962
1.154781984689458e+22,5507003775.39611,349488890809.8952,2.1288096100739193
1.2833151855576538e+22,5775828627.350089,370311998605.3634,2.121756113563633
1.4261547957260143e+22,6057776187.036891,392375780509.9767,2.1148159960949138
1.584893192461111e+22,6353487040.536943,415754157874.00543,2.107987435194745
1.7612999928460526e+22,6663633044.19408,440525456400.1542,2.1012686376848344
1.9573417814876658e+22,6988918851.075931,466772668561.92194,2.0946578392107273
2.1752040340195155e+22,7330083511.948815,494583731657.28503,2.0881533037784887
2.4173154808041012e+22,7687902154.4043865,524051822429.2649,2.081753323298828
2.6863751824408106e+22,8063187743.952722,555275669240.4414,2.07545621713856
2.9853826189179694e+22,8456792931.083598,588359882847.3451,2.069260331679267
3.3176711278428483e+22,8869611988.492052,623415306882.9049,2.063164039883062
3.6869450645195735e+22,9302582842.869959,660559389221.2156,2.057165740865326
4.097321098135422e+22,9756689205.879354,699916575468.7864,2.0512638594743193
4.55337410442623e+22,10232962809.149698,741618725900.6526,2.0454568458775446
5.060188166432613e+22,10732485748.376732,785805557238.2106,2.039743175154763
5.623413251903491e+22,11256392941.848383,832625110748.8536,2.034121346897549
6.249328199187811e+22,11805874708.984186,882234248235.7673,2.0285898848152852
6.944910713781242e+22,12382179474.746151,934799177579.573,2.0231473363474874
7.717915155850112e+22,12986616606.06563,990496009592.5858,2.017792272282363
8.576958985908945e+22,13620559386.730885,1049511348051.3599,2.0125232863815006
9.531618832347901e+22,14285448137.493534,1112042914884.2756,2.007338995010592
1.0592537251772854e+23,14982793488.483677,1178300212608.843,2.002238036776091
1.1771541372323017e+23,15714179811.368294,1248505226238.0842,1.997219072167709
1.3081774742601956e+23,16481268819.050232,1322893167007.5735,1.9922807832066645
1.4537843856076665e+23,17285803341.087345,1401713260414.9805,1.987421873099578
1.6155980984398696e+23,18129611283.408722,1485229581212.235,1.9826410658979372
1.7954225134915903e+23,19014609781.325127,1573721938147.9045,1.9779371061630313
1.9952623149688827e+23,19942809555.268394,1667486811423.8684,1.973308758636274
2.2173453187867695e+23,20916319479.15716,1766838346007.224,1.9687548079148263
2.4641473082812762e+23,21937351371.767784,1872109404125.3137,1.9642740581324287
2.738419634264361e+23,23008225021.9958,1983652680470.0146,1.9598653326453699
3.0432198871077285e+23,24131373459.426636,2101841883847.7688,1.9555274737235002
3.3819459827879397e+23,25309348482.18934,2227072989234.1743,1.95125934224621
3.758374042884436e+23,26544826454.652924,2359765564427.9897,1.9470598174032998
4.1767004908171906e+23,27840614388.138195,2500364175749.3613,1.9429277964006522
4.641588833612792e+23,29199656318.459145,2649339877491.7007,1.938862194170642
5.15822165072304e+23,30625039994.785316,2807191790117.576,1.9348619430871963
5.7323583694677076e+23,32120003895.021732,2974448772486.06,1.9309259926854343
6.37039947118217e+23,33687944583.644077,3151671193713.938,1.927053309385819
7.079457843841402e+23,35332424428.70838,3339452810607.379,1.9232428762227372
7.867438076599378e+23,37057179695.5665,3538422756953.9023,1.919493692577445
8.743124580220731e+23,38866129035.67769,3749247651339.6523,1.915804773915306
9.716279515771078e+23,40763382389.801056,3972633830553.624,1.9121751515272516
1.0797751623277049e+24,42753250325.79908,4209329716061.8477,1.908603872275401
1.1999597163578562e+24,44840253832.26711,4460128321479.899,1.9050899983427634
1.333521432163324e+24,47029134590.238075,4725869909444.466,1.9016326069869711
1.4819492569603878e+24,49324865746.30309,5007444806785.767,1.8982307902979658
1.6468978654828756e+24,51732663211.621895,5305796387432.361,1.894883654959582
1.830206106311053e+24,54257997512.49548,5621924233042.189,1.8915903220149626
2.033917501372293e+24,56906606219.426476,5956887481949.208,1.8883499266357446
2.2603030271419262e+24,59684506982.902954,6311808377645.361,1.8851616178949557
2.511886431509572e+24,62598011205.52712,6687876028687.037,1.882024558543562
2.791472368543512e+24,65653738381.550156,7086350392622.7705,1.8789379247906046
3.1021776647995046e+24,68858631136.39052,7508566497289.479,1.8759009060868739
3.4474660657315053e+24,72219971000.30997,7955938913620.581,1.872912704912059
3.8311868495572774e+24,75745394952.08144,8429966494951.007,1.8699725365653206
4.2576177390469156e+24,79442912770.23917,8932237398697.797,1.8670796289592244
4.7315125896148123e+24,83320925231.32854,9464434407240.11,1.864233222416997
5.258154385342906e+24,87388243196.50781,10028340565826.088,1.861432569473031
5.843414133735163e+24,91654107629.86382,10625845156395.324,1.8586769346766012
6.493816315762113e+24,96128210593.9207,11258950027330.777,1.8559655943987372
7.216611620833898e+24,100820717270.04929,11929776300347.924,1.853297836642197
8.019857777551385e+24,105742289053.80305,12640571476990.87,1.8506729608544972
8.912509381337441e+24,110904107777.6547,13393716968544.867,1.8480902777439483
9.904517720348016e+24,116317901116.16963,14191736074593.387,1.845549109098646
1.1006941712522125e+25,121995969231.33133,15037302436949.775,1.8430487876083745
1.2232071190499275e+25,127951212718.56378,15933248997288.256,1.84058865668937
1.359356390878524e+25,134197161916.94177,16882577488484.965,1.8381680703119019
1.5106597800522311e+25,140748007650.1774,17888468491467.633,1.835786392830625
1.6788040181225658e+25,147618633468.23486,18954292091269.223,1.8334429988176615
1.8656635785769073e+25,154824649462.81976,20083619167985.8,1.831137272898362
2.073321573485954e+25,162382427733.57742,21280233360468.332,1.8288686095897067
2.3040929760558492e+25,170309139585.57117,22548143742829.484,1.8266364131413102
2.560550427970465e+25,178622794542.56345,23891598256237.78,1.8244400973789734
2.8455529192242383e+25,187342281264.73422,25315097940999.645,1.8222790855507562
3.1622776601683795e+25,196487410463.79495,26823412016610.73,1.8201528101755224
