compute_flops,N_over_Nopt,parameters_N,training_tokens_D,predicted_loss
5e+23,0.06309573444801933,1905313058.113191,43737344358442.26,2.0365346863269678
5e+23,0.06606934480075961,1995107696.124485,41768839594578.83,2.0329258035312585
5e+23,0.06918309709189366,2089134225.0480072,39888932139541.38,2.029396019726541
5e+23,0.07244359600749903,2187592087.7579613,38093634457574.19,2.025944404977361
5e+23,0.0758577575029184,2290690126.5816298,36379138481594.055,2.0225700476747477
5e+23,0.07943282347242818,2398647026.281954,34741807535769.438,2.019272054301846
5e+23,0.08317637711026708,2511691777.9172287,33178168621643.484,2.0160495492038435
5e+23,0.08709635899560805,2630064164.56185,31684905051438.57,2.0129016743621317
5e+23,0.09120108393559097,2754015269.918352,30258849412916.98,2.009827589172651
5e+23,0.09549925860214359,2883808010.8996105,28896976850874.793,2.0068264702283543
5e+23,0.1,3019717695.310862,27596398651018.49,2.0038975111057375
5e+23,0.10471285480508996,3162032605.8144717,26354356112614.613,2.0010399221553885
5e+23,0.1096478196143185,3311054611.41611,25168214696915.668,1.9982529302964902
5e+23,0.1148153621496883,3467099807.7693872,24035458438950.195,1.9955357788152341
5e+23,0.12022644346174131,3630499187.657111,22953684610823.8,1.9928877271670908
5e+23,0.12589254117941676,3801599343.0713615,21920598625211.055,1.9903080507828832
5e+23,0.13182567385564073,3980763200.381568,20934009168228.242,1.987796040878619
5e+23,0.1380384264602885,4168370790.150003,19991823551362.74,1.9853510042690283
5e+23,0.14454397707459277,4364820053.227553,19092043272600.15,1.982972263184762
5e+23,0.15135612484362082,4570527684.839618,18232759777333.58,1.9806591550932018
5e+23,0.15848931924611137,4785930018.452549,17412150410063.41,1.9784110325228375
5e+23,0.16595869074375605,5011483951.295431,16628474548300.666,1.9762272628911652
5e+23,0.17378008287493754,5247667913.50037,15880069910473.281,1.974107228336062
5e+23,0.18197008586099836,5494982882.916936,15165349030004.07,1.9720503255505948
5e+23,0.19054607179632474,5753953447.753358,14482795888081.262,1.9700559656212187
5e+23,0.19952623149688797,6025128919.298441,13830962697979.342,1.968123573869324
5e+23,0.20892961308540398,6309084497.084462,13208466834109.309,1.9662525896960907
5e+23,0.21877616239495523,6606422488.962491,12613987899284.422,1.9644424664306102
5e+23,0.22908676527677735,6917773588.678105,12046264923980.727,1.9626926711812334
5e+23,0.23988329190194904,7243798213.657363,11504093691651.674,1.9610026846901074
5e+23,0.251188643150958,7585187905.8407345,10986324184423.32,1.9593720011908637
5e+23,0.26302679918953814,7942666798.53625,10491858143752.271,1.9578001282694169
5e+23,0.2754228703338167,8316993152.403353,10019646740872.04,1.9562865867278412
5e+23,0.2884031503126606,8708960963.825396,9568688352086.643,1.954830910451288
5e+23,0.3019951720402016,9119401649.082449,9138026434192.416,1.9534326462779061
5e+23,0.31622776601683794,9549185807.896685,8726747495521.655,1.9520913538717333
5e+23,0.3311311214825911,9999225070.09111,8333979158304.316,1.9508066055985267
5e+23,0.34673685045253166,10470474029.27866,7958888308237.788,1.9495779864044942
5e+23,0.3630780547701014,10963932267.683216,7600679327339.776,1.9484050936978972
5e+23,0.38018939632056115,11480646476.387527,7258592406335.884,1.9472875372334941
5e+23,0.3981071705534973,12021712675.505352,6931901933002.262,1.9462249389997908
5e+23,0.4168693834703354,12588278538.987013,6619914953044.82,1.9452169331090696
5e+23,0.436515832240166,13181545828.989769,6321969700250.246,1.9442631656901646
5e+23,0.4570881896148751,13802772944.976448,6037434192791.145,1.9433632947839574
5e+23,0.4786300923226384,14453277592.949429,5765704892707.855,1.942516990241563
5e+23,0.5011872336272724,15134439580.481733,5506205425723.521,1.9417239336251748
5e+23,0.5248074602497725,15847703743.4739,5258385358676.968,1.9409838181115489
5e+23,0.5495408738576245,16594583010.84463,5021719031980.174,1.9402963483980928
5e+23,0.5754399373371568,17376661613.65586,4795704444623.809,1.9396612406115379
5e+23,0.6025595860743578,18195598445.479267,4579862189365.783,1.9390782222191678
5e+23,0.6309573444801934,19053130581.131912,4373734435844.2246,1.938547031942578
5e+23,0.6606934480075961,19951076961.24485,4176883959457.883,1.938067419673943
5e+23,0.6918309709189366,20891342250.480072,3988893213954.138,1.937639146394766
5e+23,0.7244359600749899,21875920877.5796,3809363445757.421,1.9372619840970906
5e+23,0.7585775750291835,22906901265.816288,3637913848159.407,1.9369357157071458
5e+23,0.7943282347242817,23986470262.819534,3474180753576.9443,1.936660135011411
