model,fold,auroc,accuracy,malignant_sensitivity,benign_specificity
Logistic regression,1,0.9963880288957688,0.967032967032967,0.9411764705882353,0.9824561403508771
Logistic regression,2,1.0,0.978021978021978,1.0,0.9649122807017544
Logistic regression,3,0.9736842105263158,0.967032967032967,0.9117647058823529,1.0
Logistic regression,4,1.0,1.0,1.0,1.0
Logistic regression,5,0.9989680082559339,0.989010989010989,0.9705882352941176,1.0
RBF-SVC,1,0.9958720330237358,0.9560439560439561,0.9705882352941176,0.9473684210526315
RBF-SVC,2,1.0,0.989010989010989,1.0,0.9824561403508771
RBF-SVC,3,0.97781217750258,0.945054945054945,0.8823529411764706,0.9824561403508771
RBF-SVC,4,0.9974200206398349,0.978021978021978,0.9705882352941176,0.9824561403508771
RBF-SVC,5,0.9989680082559339,0.989010989010989,0.9705882352941176,1.0
Random forest,1,0.989422084623323,0.967032967032967,0.9411764705882353,0.9824561403508771
Random forest,2,0.998968008255934,0.989010989010989,0.9705882352941176,1.0
Random forest,3,0.9553663570691434,0.9230769230769231,0.8529411764705882,0.9649122807017544
Random forest,4,0.9917440660474717,0.945054945054945,0.9411764705882353,0.9473684210526315
Random forest,5,0.9974200206398349,0.967032967032967,1.0,0.9473684210526315
k-nearest neighbors,1,0.9837461300309598,0.945054945054945,0.9117647058823529,0.9649122807017544
k-nearest neighbors,2,1.0,1.0,1.0,1.0
k-nearest neighbors,3,0.9638802889576883,0.945054945054945,0.8823529411764706,0.9824561403508771
k-nearest neighbors,4,1.0,0.978021978021978,0.9411764705882353,1.0
k-nearest neighbors,5,0.9979360165118678,0.967032967032967,0.9705882352941176,0.9649122807017544
