sampler,requested_steps,actual_nfe_per_sample,repeat,seed,generated_samples,sampling_seconds,latency_ms_per_image,throughput_images_per_second,feature_frechet_distance
DDPM,10,10,1,25025,1200,0.0264,0.0220,45454.5,58.616
DDPM,10,10,2,25026,1200,0.0216,0.0180,55555.6,58.338
DDPM,10,10,3,25027,1200,0.0240,0.0200,50000.0,56.349
DDPM,20,20,1,25025,1200,0.0432,0.0360,27777.8,76.838
DDPM,20,20,2,25026,1200,0.0432,0.0360,27777.8,75.942
DDPM,20,20,3,25027,1200,0.0432,0.0360,27777.8,74.767
DDPM,40,40,1,25025,1200,0.0912,0.0760,13157.9,128.430
DDPM,40,40,2,25026,1200,0.0912,0.0760,13157.9,122.352
DDPM,40,40,3,25027,1200,0.0900,0.0750,13333.3,121.541
DDPM,80,80,1,25025,1200,0.1896,0.1580,6329.1,216.884
DDPM,80,80,2,25026,1200,0.2076,0.1730,5780.3,220.424
DDPM,80,80,3,25027,1200,0.2088,0.1740,5747.1,218.941
DDIM,10,10,1,25025,1200,0.0264,0.0220,45454.5,95.903
DDIM,10,10,2,25026,1200,0.0228,0.0190,52631.6,94.715
DDIM,10,10,3,25027,1200,0.0216,0.0180,55555.6,91.765
DDIM,20,20,1,25025,1200,0.0396,0.0330,30303.0,149.714
DDIM,20,20,2,25026,1200,0.0372,0.0310,32258.1,149.591
DDIM,20,20,3,25027,1200,0.0348,0.0290,34482.8,158.047
DDIM,40,40,1,25025,1200,0.0768,0.0640,15625.0,238.120
DDIM,40,40,2,25026,1200,0.0708,0.0590,16949.2,236.782
DDIM,40,40,3,25027,1200,0.0900,0.0750,13333.3,242.548
DDIM,80,80,1,25025,1200,0.1356,0.1130,8849.6,238.379
DDIM,80,80,2,25026,1200,0.1476,0.1230,8130.1,253.146
DDIM,80,80,3,25027,1200,0.1428,0.1190,8403.4,242.347
